AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID,_RepeatOffenderTag_forValidationOnly
117,80,Manjunath Setty,44,M,A1,REPEAT-016
118,81,Kavya Naidu,18,F,A1,
119,82,Bhagya Bhat,27,F,A1,
120,82,Srinivas Shetty,29,M,A2,
121,83,Vidya Rao,34,F,A1,
122,84,Harish Achar,55,M,A1,
123,84,Manjula Rao,21,F,A2,
124,85,Kavya Murthy,22,F,A1,
125,85,Basavaraj Achar,24,M,A2,
126,86,Naveen Naik,25,M,A1,
127,87,Nagaraj Setty,46,M,A1,REPEAT-003
128,88,Harish Bhat,55,M,A1,
129,89,Srinivas Naidu,37,M,A1,REPEAT-049
130,90,Srinivas Naidu,37,M,A1,REPEAT-049
131,90,Priya Setty,40,F,A2,
132,91,Naveen Murthy,44,M,A1,REPEAT-002
133,91,Nandini Poojary,25,F,A2,
134,92,Santosh Achar,19,M,A1,
135,93,Sunita Kumar,20,F,A1,
136,94,Srinivas Shetty,26,M,A1,
137,94,Anil Patil,44,M,A2,
138,95,Suresh Kumar,32,M,A1,
139,96,Harish Setty,20,M,A1,
140,97,Kavya Kumar,54,F,A1,
141,97,Vidya Patil,41,F,A2,
142,98,Santosh Patil,35,M,A1,
143,99,Radha Reddy,44,F,A1,REPEAT-055
144,100,Harish Bhat,19,M,A1,
145,100,Deepa Hegde,32,F,A2,
146,101,Shivaraj Murthy,26,M,A1,
147,102,Naveen Poojary,50,M,A1,
148,102,Harish Naik,31,M,A2,
149,102,Ramesh Bhat,25,M,A3,
150,103,Vijay Shetty,21,M,A1,REPEAT-007
151,103,Shivaraj Gowda,31,M,A2,
152,104,Girish Naidu,31,M,A1,
153,105,Suresh Naik,38,M,A1,REPEAT-042
154,105,Nagaraj Iyer,30,M,A2,
155,106,Naveen Murthy,44,M,A1,REPEAT-002
156,106,Nagaraj Patil,33,M,A2,
157,107,Bhagya Bhat,19,F,A1,
158,108,Priya Reddy,23,F,A1,
159,109,Raghu Achar,33,M,A1,
160,109,Anil Achar,50,M,A2,
161,110,Suresh Poojary,40,M,A1,
162,111,Ravi Rao,32,M,A1,
163,112,Ravi Setty,53,M,A1,
164,112,Srinivas Poojary,29,M,A2,
165,113,Vijay Naik,46,M,A1,
166,113,Anita Reddy,42,F,A2,
167,114,Harish Gowda,48,M,A1,
168,115,Mahesh Shetty,37,M,A1,REPEAT-022
169,116,Girish Naik,36,M,A1,
170,117,Nagaraj Iyer,55,M,A1,
171,118,Geeta Shetty,28,F,A1,
172,118,Basavaraj Kumar,51,M,A2,
173,119,Nagaraj Naidu,37,M,A1,REPEAT-035
174,119,Yogesh Bhat,42,M,A2,
175,119,Ganesh Patil,49,M,A3,
176,120,Chaya Gowda,53,F,A1,
177,121,Priya Bhat,33,F,A1,
178,122,Santosh Gowda,45,M,A1,
179,122,Manjula Rao,42,F,A2,
180,122,Roopa Poojary,31,F,A3,
181,123,Naveen Achar,22,M,A1,
182,124,Harish Reddy,29,M,A1,
183,125,Basavaraj Naidu,39,M,A1,
184,126,Mahesh Shetty,37,M,A1,REPEAT-022
185,126,Prakash Murthy,33,M,A2,
186,127,Kumar Poojary,41,M,A1,
187,127,Manjunath Bhat,36,M,A2,
188,127,Pooja Bhat,42,F,A3,
189,128,Anil Naidu,28,M,A1,
190,129,Srinivas Naik,22,M,A1,
191,129,Girish Bhat,25,M,A2,
192,130,Sowmya Poojary,33,F,A1,
193,130,Harish Setty,28,M,A2,
194,130,Anil Shetty,51,M,A3,
195,131,Deepa Poojary,35,F,A1,
196,132,Kumar Murthy,45,M,A1,
197,133,Manjunath Bhat,33,M,A1,REPEAT-030
198,134,Girish Setty,30,M,A1,
199,135,Ganesh Hegde,31,M,A1,
200,136,Shobha Iyer,51,F,A1,
201,137,Vijay Poojary,20,M,A1,
202,138,Mahesh Patil,49,M,A1,
203,139,Priya Setty,28,F,A1,
204,139,Naveen Iyer,35,M,A2,
205,139,Shivaraj Poojary,29,M,A3,
206,140,Yogesh Hegde,30,M,A1,
207,141,Harish Achar,45,M,A1,REPEAT-057
208,141,Harish Rao,35,M,A2,
209,142,Mahesh Hegde,35,M,A1,
210,143,Manjunath Murthy,31,M,A1,
211,143,Shobha Shetty,40,F,A2,
212,144,Anita Poojary,31,F,A1,
213,145,Raghu Naidu,30,M,A1,
214,146,Santosh Achar,55,M,A1,
215,147,Ravi Naik,41,M,A1,REPEAT-008
216,148,Srinivas Hegde,32,M,A1,REPEAT-046
217,148,Manjula Reddy,24,F,A2,
218,148,Srinivas Rao,30,M,A3,
219,149,Manjula Gowda,40,F,A1,
220,149,Kumar Iyer,20,M,A2,
221,149,Sowmya Poojary,45,F,A3,
222,150,Savitha Kumar,48,F,A1,
223,150,Harish Patil,30,M,A2,
224,151,Sunita Murthy,44,F,A1,
225,151,Nagaraj Reddy,46,M,A2,
226,152,Yogesh Poojary,41,M,A1,
227,152,Yogesh Gowda,47,M,A2,
228,152,Suresh Gowda,24,M,A3,
229,153,Prakash Murthy,39,M,A1,
230,153,Mahesh Iyer,40,M,A2,
231,154,Shivaraj Kumar,35,M,A1,
232,154,Ganesh Reddy,29,M,A2,
233,155,Harish Achar,45,M,A1,REPEAT-057
234,156,Nandini Kumar,42,F,A1,REPEAT-012
235,156,Priya Murthy,35,F,A2,
236,157,Shivaraj Kumar,29,M,A1,REPEAT-024
237,157,Kavya Poojary,55,F,A2,
238,158,Anita Shetty,28,F,A1,REPEAT-019
239,158,Radha Shetty,23,F,A2,
240,159,Naveen Murthy,44,M,A1,REPEAT-002
241,160,Basavaraj Kumar,52,M,A1,
242,160,Naveen Naidu,28,M,A2,
243,161,Prakash Poojary,33,M,A1,
244,161,Ravi Gowda,48,M,A2,
245,161,Bhagya Shetty,31,F,A3,
246,162,Shwetha Iyer,38,F,A1,
247,162,Harish Naidu,49,M,A2,
248,162,Raghu Murthy,48,M,A3,
249,163,Srinivas Iyer,42,M,A1,
250,163,Ganesh Poojary,48,M,A2,
251,164,Prakash Reddy,42,M,A1,
252,165,Ramesh Achar,46,M,A1,
253,165,Manjunath Gowda,52,M,A2,
254,166,Rekha Hegde,45,F,A1,
255,167,Manjunath Achar,52,M,A1,
256,167,Priya Murthy,32,F,A2,
257,167,Pooja Achar,38,F,A3,
258,168,Mahesh Reddy,33,M,A1,
259,169,Kavya Setty,35,F,A1,
260,170,Harish Setty,28,M,A1,
261,170,Bhagya Setty,26,F,A2,
262,171,Yogesh Naidu,24,M,A1,REPEAT-001
263,172,Kumar Iyer,20,M,A1,REPEAT-038
264,172,Ravi Naik,29,M,A2,
265,173,Pooja Kumar,29,F,A1,
266,173,Ganesh Iyer,37,M,A2,
267,174,Santosh Bhat,27,M,A1,
268,174,Vijay Naidu,24,M,A2,
269,174,Rekha Rao,31,F,A3,
270,175,Ravi Reddy,55,M,A1,
271,175,Basavaraj Naidu,53,M,A2,
272,176,Geeta Iyer,34,F,A1,
273,176,Girish Kumar,49,M,A2,
274,177,Roopa Patil,50,F,A1,
275,178,Sunita Achar,34,F,A1,
276,178,Vijay Poojary,47,M,A2,
277,178,Nandini Naik,26,F,A3,
278,179,Suresh Naik,38,M,A1,REPEAT-042
279,180,Srinivas Reddy,31,M,A1,
280,180,Geeta Gowda,32,F,A2,
281,181,Yogesh Bhat,42,M,A1,
282,182,Suresh Naik,40,M,A1,
283,182,Priya Achar,26,F,A2,
284,182,Naveen Naik,47,M,A3,
285,183,Anil Naidu,20,M,A1,
286,184,Radha Reddy,44,F,A1,
287,184,Vijay Setty,47,M,A2,
288,185,Shobha Achar,53,F,A1,
289,185,Geeta Naidu,54,F,A2,
290,186,Mahesh Murthy,51,M,A1,
291,187,Santosh Gowda,18,M,A1,
292,188,Ravi Gowda,49,M,A1,
293,189,Prakash Setty,43,M,A1,
294,189,Suresh Poojary,23,M,A2,
295,190,Anil Naidu,19,M,A1,
296,191,Vijay Setty,39,M,A1,
297,192,Harish Naik,31,M,A1,
298,193,Manjunath Reddy,27,M,A1,
299,193,Deepa Kumar,54,F,A2,
300,194,Priya Patil,27,F,A1,
301,194,Naveen Rao,33,M,A2,
302,194,Nagaraj Naidu,33,M,A3,
303,195,Savitha Gowda,36,F,A1,
304,196,Basavaraj Kumar,42,M,A1,
305,197,Kumar Setty,37,M,A1,REPEAT-043
306,198,Ramesh Murthy,51,M,A1,
307,199,Harish Rao,42,M,A1,
308,200,Harish Reddy,50,M,A1,
309,201,Bhagya Hegde,41,F,A1,
310,202,Basavaraj Naidu,22,M,A1,
311,203,Sowmya Rao,33,F,A1,
312,204,Ravi Rao,51,M,A1,
313,204,Kumar Reddy,36,M,A2,
314,204,Suresh Naidu,46,M,A3,
315,205,Srinivas Gowda,37,M,A1,
316,206,Naveen Kumar,39,M,A1,
317,207,Harish Achar,45,M,A1,REPEAT-057
318,207,Ramesh Achar,28,M,A2,
319,208,Shobha Achar,48,F,A1,
320,209,Manjunath Naidu,26,M,A1,
321,210,Kavya Iyer,38,F,A1,
322,211,Radha Shetty,21,F,A1,
323,211,Suresh Achar,20,M,A2,
324,211,Srinivas Achar,28,M,A3,
325,212,Sowmya Bhat,23,F,A1,
326,212,Priya Bhat,43,F,A2,
327,213,Vidya Naik,42,F,A1,
328,213,Girish Iyer,45,M,A2,
329,214,Naveen Setty,21,M,A1,
330,214,Lakshmi Naidu,36,F,A2,
331,214,Girish Rao,20,M,A3,
332,215,Suresh Reddy,36,M,A1,
333,216,Manjula Iyer,43,F,A1,
334,217,Lakshmi Murthy,44,F,A1,REPEAT-044
335,218,Raghu Naik,34,M,A1,
336,219,Anita Shetty,29,F,A1,REPEAT-019
337,219,Ramesh Poojary,46,M,A2,
338,220,Kavya Naidu,45,F,A1,
339,220,Manjula Setty,48,F,A2,
340,221,Chaya Shetty,19,F,A1,
341,222,Roopa Poojary,20,F,A1,
342,222,Geeta Rao,18,F,A2,
343,223,Nagaraj Setty,45,M,A1,REPEAT-003
344,224,Sowmya Naidu,45,F,A1,
345,225,Santosh Iyer,25,M,A1,
346,226,Manjunath Achar,22,M,A1,
347,226,Savitha Patil,49,F,A2,
348,227,Kavya Iyer,37,F,A1,
349,228,Naveen Hegde,45,M,A1,
350,228,Raghu Naidu,53,M,A2,
351,229,Santosh Rao,23,M,A1,
352,230,Anil Bhat,42,M,A1,REPEAT-054
353,230,Prakash Naidu,26,M,A2,
354,231,Manjunath Bhat,32,M,A1,REPEAT-030
355,232,Chaya Kumar,45,F,A1,
356,233,Geeta Rao,25,F,A1,
357,234,Mahesh Gowda,42,M,A1,
358,235,Shobha Hegde,45,F,A1,
359,236,Vijay Achar,29,M,A1,
360,237,Kumar Murthy,35,M,A1,
361,238,Shwetha Iyer,54,F,A1,
362,238,Kumar Gowda,21,M,A2,
363,238,Ganesh Gowda,40,M,A3,
364,239,Anita Achar,24,F,A1,
365,240,Mahesh Shetty,20,M,A1,
366,240,Mahesh Naik,32,M,A2,
367,240,Raghu Poojary,48,M,A3,
368,241,Ramesh Naik,45,M,A1,
369,242,Roopa Poojary,47,F,A1,
370,243,Santosh Reddy,32,M,A1,
371,244,Prakash Gowda,45,M,A1,
372,245,Naveen Shetty,34,M,A1,
373,245,Sowmya Murthy,54,F,A2,
374,246,Srinivas Setty,43,M,A1,
375,247,Anil Hegde,42,M,A1,
376,247,Nagaraj Shetty,42,M,A2,
377,247,Yogesh Patil,55,M,A3,
378,248,Ganesh Murthy,47,M,A1,
379,249,Manjula Shetty,46,F,A1,
380,250,Raghu Iyer,23,M,A1,
381,250,Girish Poojary,54,M,A2,
382,251,Kavya Hegde,51,F,A1,
383,252,Manjunath Naidu,36,M,A1,
384,253,Ramesh Naidu,25,M,A1,
385,254,Suresh Hegde,46,M,A1,
386,255,Raghu Reddy,37,M,A1,
387,255,Lakshmi Achar,39,F,A2,
388,256,Nagaraj Setty,45,M,A1,REPEAT-003
389,256,Girish Reddy,19,M,A2,
390,257,Sowmya Setty,55,F,A1,
391,258,Kumar Shetty,55,M,A1,
392,259,Anita Rao,54,F,A1,
393,259,Naveen Shetty,55,M,A2,
394,260,Roopa Kumar,23,F,A1,
395,261,Geeta Gowda,50,F,A1,
396,261,Sowmya Poojary,21,F,A2,
397,261,Lakshmi Reddy,24,F,A3,
398,262,Anita Naidu,47,F,A1,
399,262,Mahesh Kumar,41,M,A2,
400,263,Ramesh Poojary,49,M,A1,
401,264,Mahesh Shetty,38,M,A1,REPEAT-022
402,265,Anil Shetty,44,M,A1,
403,266,Girish Iyer,41,M,A1,
404,267,Suresh Bhat,27,M,A1,
405,267,Nagaraj Gowda,24,M,A2,
406,267,Girish Hegde,46,M,A3,
407,268,Mahesh Naidu,51,M,A1,
408,269,Kumar Patil,34,M,A1,
409,270,Ramesh Kumar,43,M,A1,
410,271,Basavaraj Poojary,55,M,A1,
411,271,Ravi Naidu,35,M,A2,
412,271,Bhagya Murthy,32,F,A3,
413,272,Nandini Kumar,42,F,A1,REPEAT-012
414,272,Girish Naidu,46,M,A2,
415,273,Anita Shetty,28,F,A1,REPEAT-019
416,273,Geeta Murthy,45,F,A2,
417,274,Nagaraj Setty,46,M,A1,REPEAT-003
418,275,Santosh Kumar,53,M,A1,
419,275,Lakshmi Poojary,29,F,A2,
420,276,Anil Gowda,20,M,A1,REPEAT-052
421,277,Harish Achar,24,M,A1,
422,277,Anita Iyer,46,F,A2,
423,278,Ramesh Naik,24,M,A1,
424,279,Chaya Murthy,22,F,A1,
425,279,Prakash Shetty,33,M,A2,
426,280,Harish Achar,45,M,A1,REPEAT-057
427,280,Suresh Rao,55,M,A2,
428,281,Geeta Murthy,44,F,A1,
429,282,Harish Achar,45,M,A1,REPEAT-057
430,283,Basavaraj Gowda,44,M,A1,
431,283,Girish Gowda,24,M,A2,
432,284,Yogesh Kumar,45,M,A1,REPEAT-050
433,284,Lakshmi Bhat,46,F,A2,
434,285,Srinivas Naidu,37,M,A1,REPEAT-049
435,286,Anita Patil,25,F,A1,REPEAT-014
436,287,Mahesh Kumar,54,M,A1,
437,288,Deepa Rao,29,F,A1,
438,288,Kumar Naidu,33,M,A2,
439,289,Kumar Naik,51,M,A1,
440,290,Nandini Iyer,36,F,A1,
441,291,Raghu Murthy,43,M,A1,
442,291,Shivaraj Poojary,37,M,A2,
443,292,Deepa Murthy,37,F,A1,
444,292,Chaya Naik,23,F,A2,
445,293,Srinivas Naidu,37,M,A1,REPEAT-049
446,294,Yogesh Naidu,24,M,A1,REPEAT-001
447,294,Pooja Poojary,49,F,A2,
448,295,Harish Naidu,37,M,A1,REPEAT-015
449,295,Shwetha Hegde,49,F,A2,
450,295,Manjunath Naik,43,M,A3,
451,296,Harish Bhat,35,M,A1,
452,297,Mahesh Murthy,23,M,A1,REPEAT-033
453,297,Nandini Bhat,53,F,A2,
454,298,Shivaraj Kumar,30,M,A1,REPEAT-024
455,299,Anil Hegde,28,M,A1,
456,300,Savitha Achar,43,F,A1,
457,300,Radha Setty,45,F,A2,
458,301,Santosh Poojary,25,M,A1,
459,302,Radha Reddy,44,F,A1,REPEAT-055
460,302,Anil Hegde,18,M,A2,
461,303,Girish Naidu,20,M,A1,
462,304,Prakash Naidu,29,M,A1,
463,304,Sowmya Poojary,26,F,A2,
464,305,Shobha Shetty,31,F,A1,REPEAT-017
465,306,Manjunath Kumar,51,M,A1,
466,307,Nagaraj Iyer,54,M,A1,
467,307,Ravi Hegde,42,M,A2,
468,308,Mahesh Kumar,36,M,A1,
469,309,Anita Poojary,30,F,A1,
470,310,Basavaraj Setty,37,M,A1,
471,311,Shivaraj Kumar,49,M,A1,
472,312,Savitha Murthy,27,F,A1,
473,313,Mahesh Patil,27,M,A1,
474,314,Kumar Gowda,36,M,A1,
475,315,Basavaraj Naidu,27,M,A1,
476,316,Mahesh Hegde,39,M,A1,
477,317,Santosh Setty,23,M,A1,
478,317,Manjunath Setty,23,M,A2,
479,317,Geeta Rao,30,F,A3,
480,318,Shwetha Gowda,34,F,A1,
481,319,Naveen Rao,43,M,A1,
482,320,Shivaraj Setty,47,M,A1,
483,321,Shivaraj Kumar,44,M,A1,
484,322,Kumar Poojary,49,M,A1,
485,323,Shivaraj Reddy,32,M,A1,
486,324,Manjunath Murthy,26,M,A1,REPEAT-025
487,324,Shivaraj Gowda,36,M,A2,
488,324,Prakash Hegde,20,M,A3,
489,325,Anil Bhat,34,M,A1,REPEAT-005
490,326,Nagaraj Setty,46,M,A1,REPEAT-003
491,327,Naveen Murthy,46,M,A1,
492,328,Anita Naik,23,F,A1,
493,329,Srinivas Patil,46,M,A1,
494,329,Nagaraj Murthy,51,M,A2,
495,330,Sowmya Naidu,31,F,A1,
496,331,Anil Murthy,52,M,A1,
497,331,Sowmya Shetty,30,F,A2,
498,332,Nagaraj Patil,30,M,A1,
499,333,Srinivas Naik,50,M,A1,
500,334,Ravi Murthy,29,M,A1,
501,334,Sowmya Murthy,21,F,A2,
502,335,Nagaraj Reddy,28,M,A1,
503,336,Chaya Patil,40,F,A1,
504,337,Nagaraj Murthy,22,M,A1,
505,337,Girish Gowda,41,M,A2,
506,338,Kumar Reddy,43,M,A1,
507,339,Mahesh Bhat,34,M,A1,
508,340,Priya Naik,47,F,A1,
509,340,Mahesh Murthy,53,M,A2,
510,341,Ramesh Reddy,30,M,A1,
511,341,Yogesh Kumar,32,M,A2,
512,342,Kumar Patil,35,M,A1,
513,342,Sunita Poojary,37,F,A2,
514,343,Chaya Gowda,33,F,A1,
515,344,Srinivas Poojary,46,M,A1,
516,345,Mahesh Naik,52,M,A1,
517,346,Prakash Rao,22,M,A1,
518,347,Suresh Naidu,26,M,A1,
519,347,Basavaraj Poojary,23,M,A2,
520,347,Priya Kumar,47,F,A3,
521,348,Raghu Kumar,39,M,A1,
522,349,Priya Murthy,24,F,A1,REPEAT-010
523,350,Suresh Bhat,49,M,A1,
524,351,Santosh Naik,50,M,A1,
525,352,Roopa Hegde,27,F,A1,
526,353,Ganesh Hegde,48,M,A1,
527,354,Kumar Gowda,51,M,A1,
528,354,Prakash Setty,48,M,A2,
529,354,Shobha Hegde,21,F,A3,
530,355,Santosh Patil,50,M,A1,
531,356,Ravi Shetty,30,M,A1,
532,357,Ramesh Gowda,33,M,A1,
533,358,Mahesh Kumar,36,M,A1,
534,359,Nagaraj Gowda,37,M,A1,
535,360,Kavya Patil,40,F,A1,
536,361,Raghu Kumar,31,M,A1,
537,361,Shivaraj Shetty,30,M,A2,
538,362,Radha Poojary,36,F,A1,
539,362,Harish Iyer,43,M,A2,
540,363,Savitha Reddy,47,F,A1,
541,363,Srinivas Gowda,40,M,A2,
542,364,Shivaraj Setty,31,M,A1,
543,365,Mahesh Kumar,39,M,A1,
544,366,Nandini Kumar,42,F,A1,REPEAT-012
545,367,Harish Shetty,41,M,A1,
546,367,Naveen Bhat,54,M,A2,
547,368,Yogesh Bhat,46,M,A1,
548,369,Rekha Reddy,19,F,A1,
549,370,Srinivas Achar,34,M,A1,
550,370,Anil Bhat,33,M,A2,
551,370,Prakash Bhat,18,M,A3,
552,371,Mahesh Gowda,49,M,A1,
553,372,Shwetha Setty,43,F,A1,
554,373,Roopa Reddy,49,F,A1,
555,373,Prakash Patil,23,M,A2,
556,374,Lakshmi Murthy,44,F,A1,REPEAT-044
557,374,Manjunath Shetty,33,M,A2,
558,375,Lakshmi Murthy,44,F,A1,REPEAT-044
559,375,Ravi Naik,46,M,A2,
560,376,Nagaraj Patil,27,M,A1,
561,377,Yogesh Patil,55,M,A1,
562,377,Harish Shetty,50,M,A2,
563,378,Yogesh Achar,21,M,A1,
564,379,Kavya Shetty,23,F,A1,
565,380,Mahesh Achar,23,M,A1,
566,381,Shivaraj Kumar,30,M,A1,REPEAT-024
567,382,Shivaraj Patil,40,M,A1,
568,382,Suresh Rao,19,M,A2,
569,382,Ravi Reddy,27,M,A3,
570,383,Basavaraj Naidu,25,M,A1,
571,383,Ganesh Gowda,37,M,A2,
572,384,Ganesh Gowda,21,M,A1,REPEAT-020
573,385,Manjunath Poojary,34,M,A1,REPEAT-004
574,385,Manjunath Reddy,39,M,A2,
575,386,Naveen Patil,46,M,A1,
576,387,Nagaraj Achar,20,M,A1,
577,388,Srinivas Naik,23,M,A1,
578,388,Vijay Naidu,37,M,A2,
579,389,Kumar Setty,54,M,A1,
580,390,Mahesh Naidu,52,M,A1,
581,391,Harish Patil,39,M,A1,REPEAT-053
582,392,Basavaraj Reddy,42,M,A1,REPEAT-031
583,392,Roopa Iyer,33,F,A2,
584,393,Shivaraj Bhat,28,M,A1,
585,394,Naveen Murthy,43,M,A1,REPEAT-002
586,394,Ravi Murthy,39,M,A2,
587,394,Vidya Murthy,19,F,A3,
588,395,Anita Achar,53,F,A1,
589,396,Basavaraj Naik,20,M,A1,
590,397,Nagaraj Achar,44,M,A1,
591,397,Anita Kumar,28,F,A2,
592,397,Manjula Kumar,32,F,A3,
593,398,Manjula Setty,40,F,A1,
594,399,Naveen Murthy,43,M,A1,REPEAT-002
595,400,Kumar Kumar,52,M,A1,
596,401,Lakshmi Murthy,45,F,A1,REPEAT-044
597,401,Pooja Patil,26,F,A2,
598,401,Girish Hegde,24,M,A3,
599,402,Ramesh Reddy,32,M,A1,
600,403,Santosh Iyer,37,M,A1,
601,404,Anita Patil,53,F,A1,
602,405,Mahesh Murthy,23,M,A1,REPEAT-033
603,406,Harish Patil,29,M,A1,
604,407,Nagaraj Setty,45,M,A1,REPEAT-003
605,408,Sowmya Hegde,23,F,A1,
606,409,Shwetha Poojary,34,F,A1,
607,410,Yogesh Bhat,18,M,A1,
608,411,Vijay Shetty,21,M,A1,REPEAT-007
609,412,Manjula Gowda,26,F,A1,
610,413,Ganesh Patil,42,M,A1,
611,414,Radha Naik,33,F,A1,
612,414,Kumar Rao,36,M,A2,
613,415,Priya Achar,40,F,A1,
614,415,Vidya Kumar,48,F,A2,
615,416,Priya Bhat,45,F,A1,
616,417,Nagaraj Murthy,18,M,A1,
617,418,Harish Rao,23,M,A1,
618,418,Mahesh Bhat,22,M,A2,
619,418,Basavaraj Bhat,18,M,A3,
620,419,Chaya Reddy,22,F,A1,
621,420,Savitha Kumar,49,F,A1,
622,421,Harish Rao,26,M,A1,
623,422,Raghu Setty,52,M,A1,
624,422,Vidya Reddy,29,F,A2,
625,422,Prakash Murthy,44,M,A3,
626,423,Bhagya Iyer,32,F,A1,
627,423,Ganesh Rao,38,M,A2,
628,424,Anita Setty,50,F,A1,
629,424,Geeta Gowda,53,F,A2,
630,425,Mahesh Rao,20,M,A1,
631,425,Kavya Naidu,24,F,A2,
632,426,Anil Bhat,36,M,A1,
