VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
63,53,Ganesh Setty,39,M,0
64,54,Manjunath Setty,51,M,0
65,55,Anita Rao,49,F,0
66,56,Kavya Naidu,6,F,0
67,57,Nandini Patil,75,F,0
68,57,Kavya Kumar,29,F,0
69,58,Sowmya Kumar,5,F,0
70,58,Rekha Reddy,40,F,0
71,59,Nandini Poojary,68,F,0
72,60,Bhagya Iyer,23,F,0
73,61,Radha Achar,26,F,0
74,62,Naveen Bhat,37,M,0
75,62,Pooja Rao,51,F,0
76,63,Pooja Reddy,7,F,0
77,64,Kumar Naidu,68,M,0
78,64,Anil Shetty,19,M,0
79,65,Roopa Reddy,29,F,0
80,66,Deepa Reddy,9,F,0
81,67,Yogesh Poojary,52,M,0
82,67,Prakash Achar,32,M,0
83,68,Geeta Rao,42,F,0
84,69,Sowmya Kumar,57,F,0
85,70,Ganesh Reddy,38,M,0
86,71,Pooja Murthy,32,F,0
87,72,Lakshmi Setty,36,F,0
88,73,Sowmya Bhat,13,F,0
89,74,Nagaraj Setty,17,M,0
90,75,Basavaraj Bhat,34,M,0
91,76,Roopa Iyer,32,F,0
92,77,Radha Poojary,67,F,0
93,78,Shwetha Iyer,38,F,0
94,79,Raghu Hegde,66,M,0
95,80,Kavya Gowda,11,F,0
96,81,Santosh Shetty,55,M,0
97,82,Priya Naik,12,F,0
98,83,Lakshmi Reddy,36,F,0
99,84,Rekha Naik,40,F,0
100,85,Radha Hegde,64,F,0
101,86,Shobha Reddy,13,F,0
102,86,Prakash Bhat,66,M,0
103,87,Shwetha Rao,37,F,0
104,88,Yogesh Reddy,24,M,0
105,89,Sowmya Poojary,51,F,0
106,90,Harish Shetty,57,M,0
107,91,Vidya Naidu,36,F,0
108,91,Geeta Murthy,69,F,0
109,92,Raghu Setty,31,M,0
110,93,Suresh Setty,13,M,0
111,94,Rekha Setty,40,F,0
112,95,Roopa Gowda,43,F,0
113,95,Suresh Gowda,39,M,0
114,96,Vijay Poojary,36,M,0
115,97,Kumar Shetty,56,M,0
116,98,Raghu Poojary,32,M,0
117,99,Kavya Iyer,20,F,0
118,100,Girish Shetty,59,M,0
119,101,Anil Reddy,63,M,0
120,102,Nagaraj Naik,18,M,0
121,103,Harish Naidu,44,M,0
122,104,Rekha Setty,36,F,0
123,105,Bhagya Hegde,74,F,0
124,106,Nagaraj Murthy,56,M,0
125,106,Yogesh Hegde,15,M,0
126,107,Nagaraj Rao,61,M,0
127,108,Sowmya Murthy,34,F,0
128,109,Harish Bhat,59,M,0
129,110,Nagaraj Bhat,63,M,0
130,111,Savitha Gowda,5,F,0
131,112,Vijay Kumar,29,M,0
132,113,Shwetha Setty,5,F,0
133,114,Manjula Rao,9,F,0
134,115,Anita Murthy,13,F,0
135,116,Suresh Gowda,27,M,0
136,117,Srinivas Naik,46,M,0
137,118,Girish Bhat,60,M,0
138,119,Roopa Hegde,64,F,0
139,120,Santosh Reddy,37,M,0
140,121,Suresh Poojary,54,M,0
141,121,Yogesh Murthy,6,M,0
142,122,Bhagya Reddy,27,F,0
143,123,Ramesh Setty,26,M,0
144,124,Santosh Hegde,30,M,0
145,125,Shivaraj Gowda,56,M,0
146,125,Manjula Naik,35,F,0
147,126,Chaya Iyer,64,F,0
148,126,Savitha Gowda,20,F,0
149,127,Mahesh Murthy,71,M,0
150,127,Mahesh Poojary,45,M,0
151,128,Srinivas Hegde,61,M,0
152,129,Chaya Bhat,19,F,0
153,130,Suresh Hegde,9,M,0
154,131,Yogesh Reddy,7,M,0
155,132,Roopa Kumar,49,F,0
156,133,Prakash Naidu,32,M,0
157,134,Vidya Rao,49,F,0
158,135,Nandini Iyer,50,F,0
159,136,Basavaraj Poojary,59,M,0
160,137,Yogesh Naik,37,M,0
161,138,Chaya Naidu,66,F,0
162,138,Radha Poojary,28,F,0
163,139,Vidya Patil,12,F,0
164,140,Srinivas Hegde,42,M,0
165,141,Sowmya Reddy,22,F,0
166,142,Pooja Shetty,26,F,0
167,143,Chaya Hegde,44,F,0
168,144,Nagaraj Setty,11,M,0
169,145,Vijay Patil,35,M,0
170,146,Bhagya Setty,10,F,0
171,146,Ramesh Rao,57,M,0
172,147,Basavaraj Gowda,42,M,0
173,148,Vijay Naik,9,M,0
174,149,Santosh Bhat,27,M,0
175,150,Kavya Poojary,12,F,0
176,151,Lakshmi Reddy,11,F,0
177,152,Sowmya Setty,48,F,0
178,153,Shobha Setty,69,F,0
179,154,Shwetha Rao,41,F,0
180,155,Manjula Murthy,37,F,0
181,155,Lakshmi Iyer,56,F,0
182,156,Ravi Shetty,40,M,0
183,157,Shobha Hegde,19,F,0
184,158,Girish Naidu,36,M,0
185,159,Ganesh Kumar,74,M,0
186,160,Chaya Shetty,28,F,0
187,161,Yogesh Shetty,72,M,0
188,162,Vijay Kumar,17,M,0
189,162,Chaya Bhat,35,F,0
190,163,Sowmya Shetty,12,F,0
191,164,Deepa Patil,47,F,0
192,165,Lakshmi Setty,52,F,0
193,166,Radha Achar,59,F,0
194,166,Pooja Rao,60,F,0
195,167,Srinivas Setty,53,M,0
196,168,Vidya Bhat,63,F,0
197,169,Priya Iyer,24,F,0
198,170,Prakash Hegde,47,M,0
199,171,Yogesh Kumar,14,M,0
200,172,Girish Bhat,15,M,0
201,173,Rekha Reddy,28,F,0
202,174,Ramesh Iyer,36,M,0
203,175,Harish Patil,63,M,0
204,176,Nandini Gowda,59,F,0
205,177,Sowmya Hegde,42,F,0
206,178,Basavaraj Gowda,70,M,0
207,179,Geeta Poojary,61,F,0
208,180,Kumar Rao,69,M,0
209,181,Harish Naidu,5,M,0
210,182,Ganesh Murthy,50,M,0
211,183,Vijay Naik,19,M,0
212,184,Mahesh Hegde,5,M,0
213,185,Mahesh Rao,11,M,0
214,186,Nagaraj Shetty,71,M,0
215,187,Ramesh Setty,56,M,0
216,188,Bhagya Kumar,18,F,0
217,189,Radha Reddy,39,F,0
218,189,Harish Reddy,43,M,0
219,190,Nandini Patil,56,F,0
220,191,Shobha Kumar,75,F,0
221,192,Sunita Naik,50,F,0
222,193,Roopa Shetty,8,F,0
223,193,Prakash Reddy,10,M,0
224,194,Chaya Kumar,27,F,0
225,195,Naveen Murthy,10,M,0
226,196,Bhagya Iyer,39,F,0
227,197,Srinivas Reddy,31,M,0
228,198,Sowmya Setty,64,F,0
229,199,Sunita Hegde,48,F,0
230,200,Yogesh Hegde,70,M,0
231,201,Prakash Bhat,8,M,0
232,202,Vidya Patil,33,F,0
233,202,Sunita Kumar,68,F,0
234,203,Priya Naik,48,F,0
235,204,Anil Kumar,66,M,0
236,205,Harish Poojary,72,M,0
237,206,Anil Bhat,66,M,0
238,207,Raghu Setty,6,M,0
239,207,Kavya Reddy,66,F,0
240,208,Bhagya Murthy,16,F,0
241,209,Kavya Reddy,60,F,0
242,210,Radha Achar,19,F,0
243,211,Vidya Hegde,31,F,0
244,212,Anil Bhat,53,M,0
245,212,Kavya Setty,58,F,0
246,213,Pooja Bhat,13,F,0
247,214,Chaya Poojary,42,F,0
248,215,Nandini Iyer,62,F,0
249,215,Anita Setty,72,F,0
250,216,Sunita Bhat,71,F,0
251,217,Vijay Reddy,28,M,0
252,218,Chaya Shetty,27,F,0
253,219,Girish Bhat,38,M,0
254,220,Manjunath Murthy,35,M,0
255,221,Kumar Reddy,20,M,0
256,222,Chaya Bhat,60,F,0
257,223,Santosh Hegde,47,M,0
258,223,Geeta Patil,31,F,0
259,224,Kavya Iyer,38,F,0
260,225,Deepa Naidu,46,F,0
261,226,Ramesh Hegde,23,M,0
262,227,Sunita Hegde,42,F,0
263,228,Anita Patil,35,F,0
264,229,Prakash Rao,75,M,0
265,230,Roopa Gowda,37,F,0
266,231,Vidya Kumar,52,F,0
267,232,Naveen Naik,45,M,0
268,233,Ganesh Hegde,63,M,0
269,234,Vidya Kumar,14,F,0
270,235,Vijay Shetty,59,M,0
271,236,Basavaraj Naik,66,M,0
272,237,Nandini Achar,59,F,0
273,238,Suresh Iyer,71,M,0
274,239,Roopa Rao,63,F,0
275,240,Chaya Patil,29,F,0
276,241,Raghu Rao,65,M,0
277,242,Harish Setty,15,M,0
278,243,Srinivas Poojary,41,M,0
279,243,Sowmya Rao,67,F,0
280,244,Prakash Patil,36,M,0
281,245,Shwetha Bhat,48,F,0
282,246,Bhagya Gowda,13,F,0
283,247,Savitha Naidu,33,F,0
284,248,Anil Kumar,67,M,0
285,249,Harish Naidu,29,M,0
286,249,Kumar Shetty,35,M,0
287,250,Geeta Reddy,58,F,0
288,251,Ganesh Iyer,67,M,0
289,252,Anita Setty,41,F,0
290,253,Vijay Kumar,23,M,0
291,254,Savitha Shetty,17,F,0
292,255,Sowmya Rao,32,F,0
293,256,Raghu Naidu,9,M,0
294,257,Manjunath Rao,52,M,0
295,257,Vidya Rao,11,F,0
296,258,Kavya Bhat,54,F,0
297,259,Vidya Bhat,41,F,0
298,260,Harish Patil,65,M,0
299,261,Ravi Murthy,40,M,0
300,261,Sunita Iyer,44,F,0
301,262,Shivaraj Shetty,68,M,0
302,263,Rekha Naidu,35,F,0
303,263,Shwetha Gowda,66,F,0
304,264,Sowmya Naidu,37,F,0
305,265,Shwetha Poojary,28,F,0
306,266,Shobha Achar,72,F,0
307,267,Priya Gowda,16,F,0
308,267,Radha Setty,54,F,0
309,268,Manjunath Kumar,73,M,0
310,269,Pooja Kumar,31,F,0
311,270,Santosh Poojary,18,M,0
312,270,Kumar Hegde,43,M,0
313,271,Rekha Achar,41,F,0
314,272,Nagaraj Murthy,58,M,0
315,273,Chaya Murthy,31,F,0
316,274,Prakash Poojary,11,M,0
317,275,Radha Setty,9,F,0
318,276,Mahesh Iyer,7,M,0
319,277,Vidya Setty,6,F,0
320,278,Kavya Naidu,24,F,0
321,279,Anil Patil,66,M,0
322,279,Sowmya Poojary,21,F,0
323,280,Harish Reddy,12,M,0
324,281,Vijay Achar,8,M,0
325,282,Yogesh Setty,23,M,0
326,283,Sowmya Iyer,72,F,0
327,284,Savitha Poojary,43,F,0
328,285,Sunita Naidu,37,F,0
329,286,Manjula Naik,63,F,0
330,286,Nagaraj Bhat,68,M,0
331,287,Harish Kumar,33,M,0
332,287,Roopa Reddy,73,F,0
333,288,Basavaraj Hegde,29,M,0
334,288,Priya Naidu,48,F,0
335,289,Geeta Naidu,35,F,0
336,289,Chaya Rao,12,F,0
337,290,Nagaraj Naidu,21,M,0
338,291,Mahesh Patil,55,M,0
339,291,Raghu Naik,72,M,0
340,292,Roopa Setty,75,F,0
341,293,Rekha Iyer,53,F,0
342,294,Vidya Bhat,18,F,0
343,295,Ramesh Naik,50,M,0
344,295,Lakshmi Hegde,69,F,0
345,296,Ganesh Shetty,64,M,0
346,297,Pooja Bhat,54,F,0
347,298,Vijay Hegde,65,M,0
348,299,Shivaraj Poojary,7,M,0
349,300,Basavaraj Reddy,45,M,0
350,300,Ramesh Naik,58,M,0
351,301,Nandini Setty,53,F,0
352,302,Rekha Naidu,9,F,0
353,303,Vijay Murthy,8,M,0
354,304,Vijay Setty,48,M,0
355,304,Anil Shetty,5,M,0
356,305,Kumar Bhat,42,M,0
357,306,Geeta Murthy,40,F,0
358,307,Yogesh Kumar,29,M,0
359,308,Sunita Kumar,60,F,0
360,309,Geeta Iyer,64,F,0
361,309,Roopa Naik,40,F,0
362,310,Savitha Poojary,51,F,0
363,311,Srinivas Kumar,42,M,0
364,311,Mahesh Bhat,60,M,0
365,312,Kumar Gowda,66,M,0
366,313,Manjunath Bhat,52,M,0
367,314,Shwetha Naik,75,F,0
368,315,Girish Naik,75,M,0
369,316,Ravi Achar,54,M,0
370,317,Pooja Rao,29,F,0
371,318,Sowmya Murthy,7,F,0
372,319,Raghu Achar,10,M,0
373,320,Bhagya Rao,59,F,0
374,321,Prakash Gowda,62,M,0
375,322,Harish Setty,50,M,0
376,323,Kavya Gowda,49,F,0
377,324,Ganesh Setty,33,M,0
378,325,Bhagya Reddy,73,F,0
379,326,Anil Achar,61,M,0
380,326,Rekha Achar,19,F,0
381,327,Savitha Iyer,7,F,0
382,328,Nagaraj Rao,61,M,0
383,328,Ganesh Iyer,38,M,0
384,329,Basavaraj Patil,47,M,0
385,330,Radha Kumar,71,F,0
386,331,Shivaraj Iyer,56,M,0
387,332,Anil Iyer,47,M,0
388,333,Sunita Bhat,15,F,0
389,334,Rekha Gowda,29,F,0
390,335,Santosh Murthy,21,M,0
391,336,Ravi Gowda,6,M,0
392,337,Vijay Shetty,15,M,0
393,338,Manjula Murthy,46,F,0
394,339,Nagaraj Iyer,74,M,0
395,339,Bhagya Iyer,66,F,0
396,340,Kavya Naik,49,F,0
397,341,Basavaraj Gowda,9,M,0
398,342,Ganesh Kumar,37,M,0
399,343,Manjula Gowda,62,F,0
400,344,Savitha Patil,10,F,0
401,345,Geeta Shetty,10,F,0
402,346,Basavaraj Setty,38,M,0
403,346,Ramesh Hegde,20,M,0
404,347,Ravi Setty,25,M,0
405,347,Rekha Iyer,25,F,0
406,348,Kavya Gowda,38,F,0
407,349,Bhagya Setty,9,F,0
408,350,Prakash Setty,70,M,0
409,351,Ganesh Murthy,64,M,0
410,352,Prakash Achar,62,M,0
411,353,Shivaraj Kumar,66,M,0
412,354,Girish Patil,46,M,0
413,355,Yogesh Gowda,63,M,0
414,356,Manjunath Bhat,22,M,0
415,357,Basavaraj Kumar,24,M,0
416,358,Deepa Naik,43,F,0
417,358,Ravi Bhat,70,M,0
418,359,Shwetha Patil,31,F,0
419,359,Anita Achar,22,F,0
420,360,Shobha Patil,14,F,0
421,360,Priya Naik,30,F,0
422,361,Rekha Achar,35,F,0
423,361,Shwetha Naidu,49,F,0
424,362,Manjula Setty,50,F,0
425,363,Deepa Naik,45,F,0
426,364,Prakash Reddy,20,M,0
427,365,Geeta Rao,45,F,0
428,366,Chaya Shetty,62,F,0
429,367,Naveen Rao,56,M,0
430,367,Savitha Naidu,43,F,0
431,368,Bhagya Hegde,54,F,0
432,369,Harish Poojary,70,M,0
433,370,Kumar Shetty,18,M,0
434,371,Sunita Naidu,60,F,0
435,372,Ravi Rao,64,M,0
436,372,Rekha Reddy,32,F,0
437,373,Naveen Murthy,63,M,0
438,374,Naveen Naidu,24,M,0
439,375,Lakshmi Bhat,24,F,0
440,376,Vijay Hegde,63,M,0
441,376,Yogesh Bhat,62,M,0
442,377,Nagaraj Gowda,8,M,0
443,378,Anil Shetty,28,M,0
444,379,Harish Naik,55,M,0
445,380,Vidya Setty,21,F,0
446,381,Anil Naidu,16,M,0
447,382,Srinivas Iyer,19,M,0
448,383,Radha Achar,59,F,0
449,383,Bhagya Reddy,7,F,0
450,384,Sunita Hegde,54,F,0
451,385,Vijay Kumar,58,M,0
452,385,Srinivas Achar,21,M,0
453,386,Nagaraj Reddy,7,M,0
454,387,Manjula Rao,49,F,0
455,388,Shobha Achar,18,F,0
456,389,Shobha Patil,43,F,0
457,390,Santosh Iyer,24,M,0
458,391,Radha Reddy,60,F,0
459,392,Anita Poojary,50,F,0
460,393,Deepa Rao,21,F,0
461,393,Roopa Gowda,49,F,0
462,394,Deepa Naidu,53,F,0
463,395,Naveen Kumar,25,M,0
464,396,Sunita Reddy,69,F,0
465,397,Rekha Shetty,9,F,0
466,398,Sunita Achar,10,F,0
467,399,Kumar Murthy,36,M,0
468,400,Yogesh Naik,15,M,0
469,401,Ramesh Naidu,16,M,0
470,402,Rekha Iyer,52,F,0
471,403,Naveen Naidu,24,M,0
472,404,Deepa Kumar,74,F,0
473,405,Shobha Murthy,49,F,0
474,406,Girish Achar,24,M,0
475,407,Girish Bhat,18,M,0
476,408,Bhagya Shetty,27,F,0
477,409,Bhagya Shetty,9,F,0
478,410,Sowmya Naik,68,F,0
479,410,Yogesh Murthy,57,M,0
480,411,Kumar Achar,46,M,0
481,412,Vidya Poojary,17,F,0
482,413,Manjula Murthy,69,F,0
483,414,Radha Shetty,72,F,0
484,415,Girish Naik,41,M,0
485,415,Srinivas Setty,60,M,0
486,416,Savitha Hegde,52,F,0
487,417,Savitha Naidu,19,F,0
488,418,Deepa Poojary,47,F,0
489,419,Kavya Setty,15,F,0
490,420,Pooja Bhat,61,F,0
491,421,Kavya Achar,73,F,0
492,422,Mahesh Setty,62,M,0
493,423,Basavaraj Hegde,46,M,0
494,423,Priya Setty,14,F,0
495,424,Geeta Reddy,26,F,0
496,425,Pooja Patil,37,F,0
497,426,Anil Rao,64,M,0
498,427,Lakshmi Patil,71,F,0
499,428,Harish Hegde,24,M,0
500,429,Chaya Hegde,20,F,0
501,430,Yogesh Rao,25,M,0
502,430,Shwetha Hegde,53,F,0
503,431,Pooja Gowda,17,F,0
504,432,Anil Naidu,32,M,0
505,433,Radha Kumar,34,F,0
506,434,Nagaraj Achar,35,M,0
507,435,Chaya Gowda,48,F,0
508,436,Nagaraj Iyer,27,M,0
509,437,Shwetha Gowda,17,F,0
510,438,Harish Setty,59,M,0
511,439,Deepa Achar,39,F,0
512,439,Kavya Patil,70,F,0
513,440,Chaya Murthy,23,F,0
514,441,Srinivas Setty,42,M,0
515,441,Lakshmi Bhat,53,F,0
516,442,Manjunath Rao,46,M,0
517,443,Mahesh Naik,65,M,0
518,443,Srinivas Reddy,38,M,0
519,444,Ravi Naidu,68,M,0
520,445,Bhagya Poojary,75,F,0
521,446,Raghu Hegde,49,M,0
522,447,Roopa Patil,30,F,0
523,448,Shobha Reddy,15,F,0
524,449,Roopa Shetty,18,F,0
525,450,Manjula Setty,42,F,0
526,451,Suresh Poojary,27,M,0
527,452,Shwetha Naidu,62,F,0
528,453,Deepa Rao,59,F,0
529,454,Anita Patil,44,F,0
530,455,Sunita Gowda,20,F,0
531,456,Mahesh Naik,42,M,0
532,457,Naveen Reddy,17,M,0
533,458,Kumar Kumar,61,M,0
534,458,Deepa Hegde,46,F,0
535,459,Shivaraj Reddy,11,M,0
536,460,Manjula Kumar,53,F,0
537,461,Pooja Patil,43,F,0
538,462,Raghu Shetty,45,M,0
539,463,Yogesh Reddy,33,M,0
540,464,Basavaraj Gowda,72,M,0
541,465,Shobha Kumar,34,F,0
542,466,Ravi Setty,13,M,0
543,467,Chaya Rao,48,F,0
544,468,Santosh Naidu,49,M,0
545,469,Vidya Naidu,62,F,0
546,470,Naveen Reddy,50,M,0
547,471,Yogesh Setty,21,M,0
548,471,Shwetha Hegde,9,F,0
549,472,Kumar Patil,27,M,0
550,473,Chaya Patil,16,F,0
551,474,Priya Poojary,38,F,0
552,475,Santosh Achar,51,M,0
553,476,Ramesh Bhat,19,M,0
554,477,Prakash Bhat,14,M,0
555,477,Shobha Iyer,11,F,0
556,478,Yogesh Gowda,56,M,0
557,478,Santosh Shetty,72,M,0
558,479,Basavaraj Kumar,49,M,0
559,480,Pooja Naidu,21,F,0
560,480,Raghu Murthy,35,M,0
561,481,Rekha Hegde,5,F,0
562,482,Pooja Setty,10,F,0
563,483,Chaya Naidu,52,F,0
564,483,Sunita Poojary,13,F,0
565,484,Shwetha Bhat,14,F,0
566,485,Geeta Poojary,54,F,0
567,486,Sowmya Setty,34,F,0
568,487,Basavaraj Patil,60,M,0
569,488,Deepa Poojary,46,F,0
570,489,Anil Naidu,22,M,0
571,490,Lakshmi Hegde,58,F,0
572,491,Lakshmi Murthy,13,F,0
573,492,Nandini Patil,13,F,0
574,493,Priya Achar,52,F,0
575,493,Geeta Reddy,58,F,0
576,494,Radha Bhat,58,F,0
577,494,Bhagya Poojary,34,F,0
578,495,Chaya Shetty,21,F,0
579,496,Lakshmi Reddy,12,F,0
580,497,Chaya Naidu,66,F,0
581,498,Prakash Naidu,50,M,0
582,499,Vijay Setty,65,M,0
583,500,Mahesh Reddy,21,M,0
584,501,Sowmya Naik,22,F,0
585,502,Vijay Hegde,69,M,0
586,503,Raghu Naidu,55,M,0
587,504,Prakash Patil,38,M,0
588,505,Sunita Murthy,65,F,0
589,506,Vidya Poojary,35,F,0
590,507,Radha Kumar,53,F,0
591,508,Yogesh Rao,5,M,0
592,509,Ramesh Naidu,75,M,0
593,510,Shwetha Bhat,16,F,0
594,511,Sunita Shetty,68,F,0
595,512,Anil Achar,66,M,0
596,513,Rekha Poojary,29,F,0
597,514,Pooja Patil,15,F,0
598,515,Basavaraj Shetty,19,M,0
599,516,Bhagya Hegde,12,F,0
600,517,Shivaraj Bhat,7,M,0
601,517,Ganesh Naik,22,M,0
602,518,Yogesh Rao,8,M,0
603,519,Ganesh Naik,46,M,0
604,520,Rekha Kumar,55,F,0
605,521,Manjunath Gowda,64,M,0
606,522,Kumar Gowda,58,M,0
607,523,Nagaraj Murthy,47,M,0
608,524,Lakshmi Gowda,13,F,0
609,525,Ramesh Rao,38,M,0
610,526,Yogesh Poojary,42,M,0
611,526,Shivaraj Shetty,15,M,0
612,527,Ganesh Hegde,20,M,0
613,528,Nagaraj Bhat,41,M,0
614,529,Vijay Setty,32,M,0
615,530,Yogesh Iyer,17,M,0
616,531,Kavya Gowda,54,F,0
617,532,Mahesh Shetty,48,M,0
618,533,Ganesh Naik,44,M,0
619,534,Basavaraj Rao,39,M,0
620,534,Chaya Bhat,19,F,0
621,535,Shwetha Poojary,71,F,0
622,536,Girish Setty,26,M,0
623,537,Harish Kumar,42,M,0
624,538,Sowmya Naidu,20,F,0
625,539,Rekha Murthy,67,F,0
626,539,Sunita Kumar,67,F,0
627,540,Vijay Gowda,55,M,0
628,541,Savitha Naik,54,F,0
629,542,Ganesh Shetty,40,M,0
630,543,Kavya Naidu,68,F,0
631,544,Suresh Kumar,35,M,0
632,545,Ganesh Patil,62,M,0
633,546,Suresh Bhat,45,M,0
634,547,Suresh Hegde,28,M,0
635,548,Priya Achar,63,F,0
636,549,Chaya Gowda,14,F,0
637,550,Vidya Murthy,65,F,0
638,551,Kumar Poojary,67,M,0
639,552,Naveen Naidu,15,M,0
640,553,Deepa Setty,35,F,0
641,554,Prakash Iyer,13,M,0
642,555,Nandini Setty,24,F,0
643,556,Ramesh Bhat,46,M,0
644,557,Vijay Naidu,45,M,0
645,558,Vijay Patil,46,M,0
646,559,Srinivas Bhat,12,M,0
647,560,Radha Patil,6,F,0
648,561,Chaya Naik,54,F,0
649,562,Deepa Poojary,9,F,0
650,563,Shobha Murthy,61,F,0
651,564,Shivaraj Gowda,27,M,0
652,565,Manjunath Poojary,35,M,0
653,566,Shivaraj Bhat,51,M,0
654,567,Shwetha Bhat,16,F,0
655,567,Vijay Poojary,43,M,0
656,568,Nagaraj Rao,24,M,0
657,569,Yogesh Poojary,15,M,0
658,570,Geeta Kumar,19,F,0
659,570,Kumar Kumar,20,M,0
660,571,Geeta Patil,22,F,0
661,572,Shivaraj Shetty,13,M,0
662,573,Shobha Murthy,26,F,0
663,573,Ravi Poojary,64,M,0
664,574,Yogesh Naidu,74,M,0
665,575,Radha Kumar,61,F,0
666,576,Priya Murthy,60,F,0
667,577,Yogesh Shetty,34,M,0
668,578,Priya Kumar,67,F,0
669,579,Basavaraj Rao,31,M,0
670,579,Bhagya Murthy,7,F,0
671,580,Pooja Bhat,9,F,0
672,581,Anil Reddy,19,M,0
673,581,Roopa Setty,36,F,0
674,582,Priya Naik,45,F,0
675,583,Prakash Bhat,14,M,0
676,584,Srinivas Achar,48,M,0
677,585,Savitha Bhat,25,F,0
678,586,Ramesh Naidu,11,M,0
679,587,Srinivas Iyer,43,M,0
680,588,Bhagya Iyer,21,F,0
681,589,Girish Reddy,48,M,0
682,590,Bhagya Iyer,15,F,0
683,591,Vijay Kumar,58,M,0
684,592,Geeta Poojary,20,F,0
685,593,Vidya Hegde,50,F,0
686,594,Bhagya Hegde,61,F,0
687,595,Sunita Reddy,68,F,0
688,596,Naveen Naidu,71,M,0
689,597,Rekha Gowda,44,F,0
690,598,Prakash Bhat,58,M,0
691,599,Mahesh Hegde,7,M,0
692,599,Ganesh Kumar,30,M,0
693,600,Vidya Poojary,59,F,0
694,600,Savitha Patil,8,F,0
695,601,Roopa Naik,19,F,0
696,602,Nagaraj Patil,21,M,0
697,602,Savitha Gowda,40,F,0
698,603,Vijay Patil,17,M,0
699,604,Nagaraj Patil,53,M,0
700,605,Shivaraj Murthy,15,M,0
701,606,Shivaraj Rao,21,M,0
702,607,Bhagya Kumar,23,F,0
703,608,Roopa Achar,59,F,0
704,609,Ravi Iyer,14,M,0
705,610,Geeta Iyer,30,F,0
706,611,Nagaraj Setty,52,M,0
707,611,Raghu Kumar,56,M,0
708,612,Deepa Achar,16,F,0
709,613,Ramesh Reddy,15,M,0
710,614,Ganesh Patil,14,M,0
711,615,Shwetha Bhat,17,F,0
712,616,Kavya Iyer,23,F,0
713,617,Kumar Rao,47,M,0
714,618,Lakshmi Naidu,44,F,0
715,619,Sunita Poojary,70,F,0
716,620,Geeta Murthy,11,F,0
717,621,Srinivas Reddy,34,M,0
718,622,Anil Bhat,32,M,0
719,623,Yogesh Hegde,22,M,0
720,624,Sunita Hegde,45,F,0
721,625,Girish Murthy,33,M,0
722,626,Priya Hegde,63,F,0
723,627,Bhagya Naik,15,F,0
724,628,Santosh Reddy,70,M,0
725,629,Girish Murthy,74,M,0
726,629,Mahesh Gowda,33,M,0
727,630,Chaya Hegde,75,F,0
728,631,Sowmya Murthy,54,F,0
729,632,Manjula Kumar,32,F,0
730,633,Raghu Setty,52,M,0
731,634,Lakshmi Shetty,41,F,0
732,635,Chaya Reddy,65,F,0
